mpn;gender;contact_material;contact_plating;color;housing_color;housing_material;mounting_style;number_of_contacts;number_of_positions;number_of_rows;orientation;pin_pitch;material;size_diameter;size_length;size_height;size_width
640441-4;Female;Copper Alloy;Tin Lead;White;White;Nylon;;4;4;1;;254;;-1;1016;13208;6985;
1445957-4;;;Tin;Green;Green;Polycarbonate;;8;1;-1;;-1;;-1;7899;24587;7899;
3-641535-2;Female;Copper Alloy;Tin;White;White;Nylon;PC Board;2;2;1;;254;;-1;508;13462;6985;
4-640443-0;Female;Copper Alloy;Tin;Green;Green;Nylon;;10;10;1;;254;;-1;254;13208;6985;
640442-2;Female;Copper Alloy;Tin Lead;Blue;Blue;Nylon;PCB;2;2;1;;254;;-1;508;13208;6985;
3-640599-6;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;6;6;1;;396;;-1;23774;18415;9779;
3-643819-5;Female;Copper Alloy;Tin;Red;Red;Nylon;;5;5;1;;396;;-1;19812;18415;9017;
640442-3;;Copper Alloy;Tin Lead;Blue;White;Nylon;;3;3;1;;254;;-1;762;13208;6985;
3-644540-7;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;7;7;1;;254;;-1;1778;13208;7747;
84953-4;Female;Phosphor Bronze;Tin;Natural;White;Plastic;Surface Mount;4;4;-1;Right Angle;1;Thermoplastic;-1;1192;256;54;
3-643817-3;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;3;3;1;;396;;-1;11887;18415;9017;
640426-5;;Copper Alloy;Tin;Orange;Orange;Nylon;PCB;5;5;1;;39624;;-1;19812;9017;18415;
3-643817-5;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;5;5;1;;396;;-1;19812;18415;9017;
3-640428-7;Female;Copper Alloy;Tin;Red;Red;Nylon;;7;7;1;;396;;-1;27737;18415;9017;
XF2L-0425-1A;Female;Copper Alloy;Gold;;;;Surface Mount;4;4;-1;;5;;-1;69;12;345;
54489-3;Male;;;Natural;Natural;Nylon;Panel;3;3;1;;792;;-1;23774;24511;7925;
1-640440-2;Female;Copper Alloy;Tin Lead;;Red;Nylon;;12;12;1;;254;;-1;3048;13208;6985;
640426-3;Female;Copper Alloy;Tin;Orange;Orange;Nylon;PCB;3;3;1;;39624;;-1;11887;9017;18415;
3-640620-2;Female;Copper Alloy;Tin;Red;Red;Nylon;;2;2;1;;254;;-1;508;13208;7747;
4-643817-0;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;10;10;1;;396;;-1;39624;9017;18415;
4-640441-4;Female;Copper Alloy;Tin;White;White;Nylon;;14;14;1;;254;;-1;3556;6985;13208;
640441-3;;Copper Alloy;Tin Lead;White;White;Nylon;PCB;3;3;1;;254;;-1;762;13208;6985;
3-640426-9;Female;Copper Alloy;Tin;Orange;Orange;Nylon;PCB;9;9;1;;396;;-1;35662;18415;9017;
640440-2;Female;Copper Alloy;Tin Lead;Red;Red;Nylon;;2;2;1;;254;;-1;508;13208;6985;
3-640433-6;Female;Copper Alloy;Tin;Red;Red;Nylon;;6;6;1;;396;;-1;23774;18415;9017;
3-640426-7;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;7;7;1;;396;;-1;27737;18415;9017;
4-640428-2;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;12;12;1;;396;;-1;47549;9017;18415;
487526-2;Male;;;Black;Black;Thermoplastic;;3;3;-1;;254;;-1;746;1371;248;
1-5747299-4;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;15;15;2;Vertical;274;;-1;3912;808;1255;
3-643819-2;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;2;2;1;;396;;-1;7925;18415;9017;
487378-8;Male;;;Black;Black;Thermoplastic;;9;9;-1;;254;;-1;227;1371;248;
