mpn;gender;contact_material;contact_plating;color;housing_color;housing_material;mounting_style;number_of_contacts;number_of_positions;number_of_rows;orientation;pin_pitch;material;size_diameter;size_length;size_height;size_width
3-640428-7;Female;Copper Alloy;Tin;Red;Red;Nylon;;7;7;1;;0.00396;;;0.027737;0.018415;0.009017
3-640599-6;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;6;6;1;;0.00396;;;0.023774;0.018415;0.009779
3-644540-7;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;7;7;1;;0.00254;;;0.01778;0.013208;0.007747
3-643816-5;Female;Copper Alloy;Tin;Green;Green;Nylon;Through Hole;5;5;1;;0.00254;;;0.0127;0.013208;0.006985
3-640426-7;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;7;7;1;;0.00396;;;0.027737;0.018415;0.009017
3-643819-5;Female;Copper Alloy;Tin;Red;Red;Nylon;;5;5;1;;0.00396;;;0.019812;0.018415;0.009017
4-643817-0;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;10;10;1;;0.00396;;;0.039624;0.009017;0.018415
640440-2;Female;Copper Alloy;Tin Lead;Red;Red;Nylon;;2;2;1;;0.00254;;;0.00508;0.013208;0.006985
1-640440-2;Female;Copper Alloy;Tin Lead;;Red;Nylon;;12;12;1;;0.00254;;;0.03048;0.013208;0.006985
3-641535-2;Female;Copper Alloy;Tin;White;White;Nylon;PC Board;2;2;1;;0.00254;;;0.00508;0.013462;0.006985
84953-4;Female;Phosphor Bronze;Tin;Natural;White;Plastic;Surface Mount;4;4;;Right Angle;0.001;Thermoplastic;;0.01192;0.00256;0.0054
640426-2;Female;Copper Alloy;Tin;Orange;Orange;Nylon;PCB;2;2;1;;0.0039624;;;0.007925;0.009017;0.018415
3-643819-2;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;2;2;1;;0.00396;;;0.007925;0.018415;0.009017
XF2L-0425-1A;Female;Copper Alloy;Gold;;;;Surface Mount;4;4;;;0.0005;;;0.0069;0.0012;0.00345
3-640433-4;Female;Copper Alloy;Tin;Red;Red;Nylon;;4;4;1;;0.00396;;;0.01585;0.018415;0.009017
3-643817-3;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;3;3;1;;0.00396;;;0.011887;0.018415;0.009017
640442-3;;Copper Alloy;Tin Lead;Blue;White;Nylon;;3;3;1;;0.00254;;;0.00762;0.013208;0.006985
487526-1;Male;;;Black;Black;Thermoplastic;;2;2;;;0.00254;;;0.00492;0.01371;0.00248
54489-3;Male;;;Natural;Natural;Nylon;Panel;3;3;1;;0.00792;;;0.023774;0.024511;0.007925
640426-3;Female;Copper Alloy;Tin;Orange;Orange;Nylon;PCB;3;3;1;;0.0039624;;;0.011887;0.009017;0.018415
640442-2;Female;Copper Alloy;Tin Lead;Blue;Blue;Nylon;PCB;2;2;1;;0.00254;;;0.00508;0.013208;0.006985
1658620-1;Female;Phosphor Bronze;Tin;Black;Black;Plastic;Through Hole;10;10;2;Vertical;0.00254;;;0.017272;0.011786;0.006096
3-640426-9;Female;Copper Alloy;Tin;Orange;Orange;Nylon;PCB;9;9;1;;0.00396;;;0.035662;0.018415;0.009017
640441-6;Female;Copper Alloy;Tin Lead;;White;Nylon;;6;6;1;;0.00254;;;0.01524;0.013208;0.006985
XF2J-1024-11A;Female;Copper Alloy;Gold;;;;Surface Mount;10;10;1;;0.0005;;;0.0095;0.00415;0.0034
3-640443-4;Female;Copper Alloy;Tin;Green;Green;Nylon;;4;4;1;;0.00254;;;0.01016;0.013208;0.006985
640426-5;;Copper Alloy;Tin;Orange;Orange;Nylon;PCB;5;5;1;;0.0039624;;;0.019812;0.009017;0.018415
3-640620-2;Female;Copper Alloy;Tin;Red;Red;Nylon;;2;2;1;;0.00254;;;0.00508;0.013208;0.007747
640440-6;Female;Copper Alloy;Tin Lead;Red;Red;Nylon;;6;6;1;;0.00254;;;0.01524;0.013208;0.006985
1-84953-4;Female;Phosphor Bronze;Tin;Natural;White;Plastic;Surface Mount;14;14;;Right Angle;0.001;Thermoplastic;;0.02192;0.00256;0.0054
3-643817-4;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;4;4;1;;0.00396;;;0.01585;0.018415;0.009017
4-640428-0;Female;Copper Alloy;Tin;Red;Red;Nylon;Through Hole;10;10;1;;0.00396;;;0.039624;0.009017;0.018415
643817-2;;Copper Alloy;Tin Lead;Orange;Orange;Nylon;Through Hole;2;2;1;;0.0039624;;;0.007925;0.018415;0.009017
640441-4;Female;Copper Alloy;Tin Lead;White;White;Nylon;;4;4;1;;0.00254;;;0.01016;0.013208;0.006985
770343-1;Female;;;Natural;Natural;Nylon;Panel;2;2;;;0.00368;;;0.008636;0.005055;0.020828
643813-5;;Copper Alloy;Tin Lead;Red;White;Nylon;Through Hole;5;5;1;;0.00254;;;0.0127;0.013208;0.006985
485893-2;Female;;;Black;Black;Thermoplastic;;4;4;;;0.00254;;;0.01651;0.005436;0.023622
640428-2;Female;Copper Alloy;Tin Lead;Red;Red;Nylon;PCB;2;2;1;;0.0039624;;;0.007925;0.009017;0.018415
1-5747299-4;Female;Phosphor Bronze;Tin;Black;Black;Thermoplastic;Through Hole;15;15;2;Vertical;0.00274;;;0.03912;0.00808;0.01255
4-640441-4;Female;Copper Alloy;Tin;White;White;Nylon;;14;14;1;;0.00254;;;0.03556;0.006985;0.013208
4-640440-5;Female;Copper Alloy;Tin;Red;Red;Nylon;;15;15;1;;0.00254;;;0.0381;0.006985;0.013208
3-643817-2;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;2;2;1;;0.00396;;;0.007925;0.018415;0.009017
487526-7;Male;;;Black;Black;Thermoplastic;;8;8;;;0.00254;;;0.02016;0.01371;0.00248
3-643813-7;Female;Copper Alloy;Tin;Red;Red;Nylon;;7;7;1;;0.00254;Nylon;;0.01778;0.013208;0.006985
1658622-2;Female;Phosphor Bronze;Tin;Black;Black;Plastic;;14;14;2;Vertical;0.00254;;;0.022352;0.011786;0.006096
640441-3;;Copper Alloy;Tin Lead;White;White;Nylon;PCB;3;3;1;;0.00254;;;0.00762;0.013208;0.006985
487378-1;Male;;;Black;Black;Thermoplastic;;2;2;;;0.00254;;;0.00492;0.01371;0.00248
XF2J-0624-11A;Female;Copper Alloy;Gold;;;;Surface Mount;6;6;;;0.0005;;;0.0075;0.00415;0.0034
640440-5;Female;Copper Alloy;Tin Lead;Red;Red;Nylon;PCB;5;5;1;;0.00254;;;0.0127;0.013208;0.006985
3-640443-8;Female;Copper Alloy;Tin;Green;Green;Nylon;PCB;8;8;1;;0.00254;;;0.02032;0.013208;0.006985
G17S1500110EU;Female;Brass;Gold;Black;Black;Plastic;Solder;15;15;2;;0.00277;;;0.03924;0.0125;0.01255
487378-8;Male;;;Black;Black;Thermoplastic;;9;9;;;0.00254;;;0.0227;0.01371;0.00248
640426-6;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;6;6;1;;0.0039624;;;0.023774;0.009017;0.018415
3-643817-6;Female;Copper Alloy;Tin;Orange;Orange;Nylon;;6;6;1;;0.00396;;;0.023774;0.018415;0.009017
3-643817-5;Female;Copper Alloy;Tin;Orange;Orange;Nylon;Through Hole;5;5;1;;0.00396;;;0.019812;0.018415;0.009017
487526-2;Male;;;Black;Black;Thermoplastic;;3;3;;;0.00254;;;0.00746;0.01371;0.00248
